,Unnamed: 0,Time Desc,jan1,jan2,jan3,jan4,jan5,jan6,jan7,jan8,jan9,jan10,jan11,jan12,jan13,jan14,jan15,jan16,jan17,jan18,jan19,jan20,jan21,jan22,jan23,jan24,jan25,jan26,jan27,jan28,jan29,jan30,jan31
11,11,02:45-03:00,1169.196646,2165.033238,1085.28558,2207.776028,2403.5877600000003,947.694492,1202.8225519999999,1631.639963,2240.9407929999998,1820.407985,1950.899762,2291.9610620000003,2199.9026940000003,939.790472,2155.113972,2595.362047,2174.82262,1713.6951980000001,1868.653191,2542.139469,1041.925278,1396.242001,2330.912231,530.748421,1236.09354,1513.739833,1611.072784,1541.497461,1868.466945,1686.3883170000001,1201.559706
12,12,03:00-03:15,1415.224633,1974.674282,1088.049753,2334.424658,2214.544227,968.429605,1217.16089,1558.917498,2008.5243879999998,1861.085605,1501.819243,2156.745799,1887.2385179999999,954.131297,2155.438482,2596.7504489999997,2149.1435420000003,1535.284715,1590.663984,2087.018344,1011.227608,1394.664865,2283.5180969999997,572.345374,1221.121181,1328.525027,1581.30017,1359.120998,1923.1117160000001,1691.2477210000002,1190.356843
13,13,03:15-03:30,1810.729201,1831.7508100000002,917.2333560000001,2402.29068,2227.559323,935.003581,1215.741856,1560.505717,1920.6849559999998,2208.273118,1803.0517280000001,2001.645825,1957.510845,963.77766,1850.3492620000002,2596.209599,2018.6021050000002,1495.7450509999999,1867.898532,2086.1580559999998,1007.1343039999999,1379.095654,2228.612188,554.68114,1190.081549,1037.838947,1587.875233,1319.751783,1909.1007280000001,1737.1293260000002,1189.963098
14,14,03:30-03:45,1837.460523,1751.212081,733.659367,2005.5465789999998,2084.068812,933.4990310000001,1249.8091980000002,1556.589177,1407.091052,2302.181659,1838.8880559999998,1637.517104,1988.842111,967.454564,1851.6820460000001,2450.851839,1758.1522100000002,1487.560668,1731.617766,1718.6389600000002,1013.268337,1382.7205310000002,1743.554703,501.398964,1205.060714,1157.807125,1595.631513,1307.3849890000001,1578.846302,1485.8303050000002,1190.744147
15,15,03:45-04:00,1486.749041,1751.212081,723.534726,1674.212723,1680.265462,927.346686,1166.643527,1554.9863070000001,1232.945552,1826.7199739999999,1687.368787,1140.6278869999999,1963.250866,968.020338,1839.956568,2310.422746,1539.103112,1148.675804,1536.6136689999998,1874.04598,1012.7245710000001,1391.943948,1520.205569,407.545991,1245.279293,1101.552082,1594.5799880000002,1296.8955720000001,1317.727404,1309.445944,1192.82919
16,16,04:00-04:15,1473.9002169999999,1750.05534,722.272209,1287.440434,1235.8752769999999,889.563114,1138.129697,1267.929878,978.0733220000001,1486.355233,1655.2016119999998,1260.405588,1295.54458,908.947007,1454.654902,1839.3368269999999,1157.192791,990.639989,1315.196963,2004.457964,996.5663109999999,1309.490078,1054.255901,214.119386,1233.6235570000001,1058.215878,1533.013649,1185.288077,1333.88427,875.452301,1013.8931029999999
17,17,04:15-04:30,1417.1370630000001,1477.028098,782.375944,1387.813083,1434.986308,871.2091539999999,1055.7023550000001,943.409512,1155.73306,1495.027122,1434.2062970000002,1373.465103,997.249314,894.554527,1126.2302539999998,1841.980179,1461.013014,1159.51962,1118.3149,1991.3035899999998,995.950997,1303.773835,1156.988155,193.360435,1217.617834,885.886115,1343.895814,1057.1732,1380.626065,938.967966,948.3494400000001
18,18,04:30-04:45,1150.624462,1209.6457599999999,784.122888,1309.2201619999998,1616.6702699999998,821.287612,937.0179939999999,944.912233,1461.497984,1506.153865,1390.4454640000001,1403.558201,907.0823439999999,884.698331,1710.385157,1748.076984,1365.064601,1348.860668,1133.9583519999999,1987.4581289999999,997.8454869999999,1305.108401,1372.66725,62.03439100000001,961.8297220000001,887.996504,1288.560016,1151.066082,1616.903824,781.696403,739.729095
19,19,04:45-05:00,1152.063887,1699.9212079999998,796.875624,1472.900871,1948.205191,911.490694,1009.3081460000001,1186.659979,1452.239902,1436.464633,1444.05322,1261.201796,1395.8509099999999,859.457736,1856.979034,1917.1605940000002,1518.206541,1370.376422,1271.7404609999999,2004.2882739999998,924.472325,1353.187908,1442.1516470000001,9.649453999999999,871.0076300000001,941.846571,1223.353723,998.7603949999999,1953.8776579999999,1079.402831,1107.379247
20,20,05:00-05:15,2097.382024,2103.063314,1327.391438,1621.267502,2099.14413,748.542705,1155.431164,1309.4656220000002,1177.130901,1545.950954,1377.813208,1213.796949,1365.724214,764.9895190000001,2060.564997,2185.006768,1697.4868600000002,1208.209184,1609.9379119999999,1965.589291,466.74230300000005,1332.751178,1376.160489,477.595929,981.282132,833.0359440000001,1126.582576,1005.191767,1877.3346170000002,1150.360607,1384.427772
